S.N.,Open,High,Low,Close,Change,% Change,Turnover,Date
515,"2,128.56","2,134.24","2,090.90","2,098.69",-31.49,-1.47,"6,366,070,003.35",1/22/2024
516,"2,156.51","2,165.24","2,124.18","2,130.18",-25.63,-1.18,"7,677,740,058.03",1/21/2024
517,"2,163.38","2,167.15","2,133.22","2,155.82",-7.24,-0.33,"8,174,986,282.97",1/18/2024
518,"2,181.80","2,215.29","2,154.20","2,163.06",-12.1,-0.55,"9,768,969,868.61",1/17/2024
519,"2,125.19","2,178.10","2,125.19","2,175.17",54.54,2.57,"8,023,862,406.68",1/16/2024
520,"2,093.46","2,121.39","2,093.46","2,120.62",31.62,1.51,"5,450,421,806.39",1/14/2024
521,"2,091.28","2,106.28","2,082.62","2,088.99",-0.62,-0.03,"4,307,763,277.26",1/11/2024
522,"2,084.59","2,116.28","2,084.59","2,089.62",9.5,0.45,"5,134,848,789.38",1/10/2024
523,"2,063.55","2,097.93","2,063.55","2,080.12",20.62,1,"6,118,317,866.66",1/9/2024
524,"2,025.89","2,059.49","2,025.89","2,059.49",36.57,1.8,"4,675,224,906.27",1/8/2024
525,"2,049.90","2,056.13","2,019.98","2,022.92",-26.36,-1.28,"5,241,408,379.84",1/7/2024
526,"2,058.56","2,071.97","2,046.19","2,049.28",-8.71,-0.42,"5,581,107,804.69",1/4/2024
527,"2,030.94","2,058.00","2,023.82","2,058.00",27.9,1.37,"4,048,857,454.59",1/3/2024
528,"2,060.46","2,061.45","2,024.47","2,030.10",-30.05,-1.45,"4,044,659,922.73",1/2/2024
529,"2,072.45","2,095.46","2,057.12","2,060.15",-8.75,-0.42,"4,483,982,461.34",1/1/2024
530,"2,072.08","2,084.90","2,059.65","2,068.90",-1.93,-0.09,"4,290,932,297.59",12/28/2023
531,"2,089.88","2,107.74","2,055.63","2,070.84",-17.23,-0.82,"5,248,782,611.36",12/27/2023
532,"2,113.68","2,131.63","2,083.58","2,088.07",-21.03,-0.99,"7,111,733,829.80",12/24/2023
533,"2,148.16","2,154.19","2,103.46","2,109.10",-32.77,-1.53,"6,274,324,811.90",12/21/2023
534,"2,113.94","2,150.17","2,111.70","2,141.87",35.39,1.68,"7,009,575,176.13",12/20/2023
535,"2,065.04","2,106.48","2,053.49","2,106.48",45.98,2.23,"5,984,699,175.73",12/19/2023
536,"2,025.73","2,070.24","2,025.73","2,060.49",38.14,1.88,"6,868,177,565.82",12/18/2023
537,"1,986.05","2,022.35","1,951.05","2,022.35",27.75,1.39,"5,157,846,979.04",12/17/2023
538,"1,989.53","1,997.07","1,974.02","1,994.60",6.55,0.32,"3,151,635,750.11",12/14/2023
539,"1,990.36","2,016.87","1,976.36","1,988.04",2.6,0.13,"3,909,198,570.27",12/13/2023
540,"1,952.19","1,990.15","1,940.61","1,985.44",36.86,1.89,"4,309,019,196.26",12/12/2023
541,"1,989.53","1,989.53","1,928.84","1,948.57",-15.4,-0.78,"4,842,774,386.83",12/11/2023
542,"1,866.06","1,959.73","1,866.06","1,963.98",111.2,6,"451,299,087.69",12/10/2023
543,"1,840.41","1,861.19","1,834.72","1,852.77",11.73,0.63,"2,799,146,433.94",12/7/2023
544,"1,837.24","1,841.59","1,830.63","1,841.04",3.33,0.18,"1,141,812,382.77",12/6/2023
545,"1,849.00","1,857.19","1,833.08","1,837.71",-10.1,-0.54,"1,544,935,438.34",12/5/2023
546,"1,848.70","1,859.09","1,843.39","1,847.81",-3.42,-0.18,"1,197,257,894.69",12/4/2023
547,"1,858.47","1,861.62","1,837.91","1,851.23",-7.29,-0.39,"964,010,431.27",12/3/2023
548,"1,874.24","1,876.07","1,851.40","1,858.53",-18.06,-0.96,"1,323,519,357.20",11/30/2023
549,"1,894.53","1,906.77","1,872.04","1,876.60",-17.93,-0.94,"1,236,642,242.76",11/29/2023
550,"1,896.40","1,902.17","1,885.33","1,894.53",-2.17,-0.11,"1,280,228,971.85",11/28/2023
551,"1,909.97","1,926.12","1,889.78","1,896.67",-11.27,-0.59,"1,754,750,755.81",11/27/2023
552,"1,859.24","1,907.95","1,852.69","1,907.95",47.75,2.56,"2,011,763,358.52",11/26/2023
553,"1,847.69","1,863.93","1,826.68","1,860.20",9.87,0.53,"1,348,347,430.30",11/23/2023
554,"1,830.11","1,850.33","1,816.68","1,850.33",20.67,1.13,"1,087,098,495.58",11/22/2023
555,"1,853.17","1,853.40","1,821.48","1,829.65",-23.82,-1.28,"950,479,583.91",11/21/2023
556,"1,852.28","1,872.64","1,846.53","1,853.48",1.39,0.07,"1,099,318,029.69",11/20/2023
557,"1,864.40","1,866.16","1,848.17","1,852.08",-11.85,-0.63,"836,005,656.08",11/9/2023
558,"1,858.10","1,868.92","1,851.21","1,863.94",5.17,0.27,"782,743,264.94",11/8/2023
559,"1,848.06","1,864.83","1,847.41","1,858.76",11.22,0.6,"996,586,291.90",11/7/2023
560,"1,826.67","1,850.41","1,824.56","1,847.54",21.3,1.16,"938,929,040.59",11/6/2023
561,"1,846.75","1,846.75","1,817.94","1,826.23",-21.46,-1.16,"972,367,278.92",11/5/2023
562,"1,858.26","1,859.47","1,842.85","1,847.70",-10.86,-0.58,"964,477,711.41",11/2/2023
563,"1,864.18","1,872.16","1,853.62","1,858.56",-5.83,-0.31,"812,089,291.30",11/1/2023
564,"1,878.28","1,878.60","1,860.47","1,864.40",-14.29,-0.76,"571,483,276.48",10/31/2023
565,"1,876.47","1,878.70","1,857.11","1,878.70",3.04,0.16,"694,222,217.36",10/30/2023
566,"1,903.58","1,903.71","1,867.47","1,875.65",-28.18,-1.48,"742,925,392.56",10/29/2023
567,"1,908.66","1,915.90","1,893.98","1,903.84",-4.05,-0.21,"970,612,892.03",10/19/2023
568,"1,864.27","1,908.38","1,864.27","1,907.89",43.27,2.32,"934,894,218.15",10/18/2023
569,"1,851.17","1,884.61","1,851.17","1,864.62",13.18,0.71,"1,008,437,860.61",10/17/2023
570,"1,874.12","1,876.25","1,846.82","1,851.43",-23.16,-1.23,"1,253,291,070.96",10/16/2023
571,"1,895.27","1,897.21","1,870.26","1,874.60",-20.16,-1.06,"1,700,129,815.00",10/12/2023
572,"1,890.04","1,904.45","1,884.42","1,894.76",5.16,0.27,"1,088,547,980.13",10/11/2023
573,"1,908.28","1,912.44","1,885.44","1,889.59",-19.06,-0.99,"1,283,182,145.31",10/10/2023
574,"1,919.96","1,926.64","1,902.90","1,908.66",-12.58,-0.65,"1,170,172,722.08",10/9/2023
575,"1,963.80","1,963.80","1,917.87","1,921.24",-35.67,-1.82,"1,801,766,294.08",10/8/2023
576,"1,967.57","1,969.00","1,954.39","1,956.92",-11.04,-0.56,"1,106,519,418.19",10/5/2023
577,"1,958.86","1,976.05","1,957.28","1,967.97",9.24,0.47,"1,189,931,385.36",10/4/2023
578,"1,977.82","1,977.82","1,954.64","1,958.72",-17.56,-0.88,"1,199,101,324.81",10/3/2023
579,"1,970.27","1,982.49","1,954.53","1,976.29",5.19,0.26,"1,737,314,092.32",10/2/2023
580,"2,004.57","2,004.58","1,964.61","1,971.10",-33.2,-1.65,"1,830,486,743.11",10/1/2023
581,"2,023.52","2,026.54","1,993.54","2,004.30",-18.6,-0.91,"1,814,359,022.20",9/27/2023
582,"2,006.63","2,030.46","2,006.24","2,022.91",18.45,0.92,"2,093,809,518.53",9/26/2023
583,"2,012.21","2,015.18","1,999.89","2,004.45",-5.89,-0.29,"1,565,573,471.78",9/25/2023
584,"2,029.42","2,036.76","2,004.26","2,010.35",-19.42,-0.95,"2,326,895,206.98",9/24/2023
585,"1,988.70","2,040.03","1,988.70","2,029.78",44.34,2.23,"3,293,921,368.31",9/21/2023
586,"1,970.41","1,985.74","1,960.94","1,985.43",16.24,0.82,"1,176,680,757.49",9/19/2023
587,"1,965.44","1,974.60","1,953.15","1,969.18",4.26,0.21,"870,444,156.81",9/18/2023
588,"2,009.98","2,010.02","1,961.67","1,964.91",-42.14,-2.09,"2,028,465,610.94",9/17/2023
589,"1,967.26","2,007.06","1,967.26","2,007.06",39.48,2,"1,495,521,905.76",9/13/2023
590,"1,987.16","1,998.17","1,962.97","1,967.57",-19.42,-0.97,"1,135,057,515.51",9/12/2023
591,"1,942.98","1,986.99","1,942.25","1,986.99",44.3,2.28,"1,518,343,397.24",9/11/2023
592,"1,933.25","1,946.60","1,933.12","1,942.68",10.23,0.52,"1,072,212,418.60",9/10/2023
593,"1,960.72","1,960.72","1,930.52","1,932.45",-28.92,-1.47,"1,150,920,607.59",9/7/2023
594,"1,966.80","1,973.70","1,954.37","1,961.37",-6.45,-0.32,"796,870,408.04",9/5/2023
595,"1,960.78","1,977.43","1,946.71","1,967.83",7.04,0.35,"1,099,139,697.15",9/4/2023
596,"1,990.81","1,991.04","1,959.14","1,960.78",-29.81,-1.49,"1,186,618,410.86",9/3/2023
597,"1,994.63","2,001.43","1,985.47","1,990.59",-2.82,-0.14,"1,130,008,041.15",8/30/2023
598,"1,999.00","2,002.70","1,988.83","1,993.42",-5.05,-0.25,"865,120,452.40",8/29/2023
599,"1,994.03","2,009.37","1,989.97","1,998.48",5.09,0.25,"988,628,562.24",8/28/2023
600,"2,014.20","2,015.85","1,989.42","1,993.38",-20.54,-1.02,"1,262,767,876.55",8/27/2023
601,"2,045.85","2,052.02","2,009.10","2,013.93",-31.52,-1.54,"1,550,582,685.37",8/24/2023
602,"2,016.79","2,047.87","2,016.06","2,045.45",29.47,1.46,"1,510,488,984.60",8/23/2023
603,"1,998.14","2,015.98","1,990.34","2,015.98",17.69,0.88,"1,332,564,769.51",8/22/2023
604,"2,012.45","2,019.41","1,991.94","1,998.28",-12.93,-0.64,"1,408,981,601.68",8/21/2023
605,"2,033.20","2,034.49","2,008.13","2,011.22",-21.91,-1.07,"1,447,408,942.66",8/20/2023
606,"2,025.98","2,042.35","2,025.73","2,033.13",8.01,0.39,"1,541,367,398.79",8/17/2023
607,"2,044.04","2,044.04","2,014.34","2,025.12",-20.31,-0.99,"1,679,980,623.08",8/16/2023
608,"2,077.03","2,078.65","2,041.30","2,045.44",-31.8,-1.53,"2,157,312,369.50",8/15/2023
609,"2,079.24","2,093.81","2,073.88","2,077.24",-3.61,-0.17,"2,091,390,638.30",8/14/2023
610,"2,065.40","2,087.31","2,057.77","2,080.86",14.81,0.71,"3,018,460,512.26",8/13/2023
611,"2,058.95","2,080.40","2,046.07","2,066.05",5.13,0.24,"2,156,583,945.67",8/10/2023
612,"2,018.72","2,060.91","2,000.51","2,060.91",41.06,2.03,"1,888,326,469.62",8/9/2023
613,"2,047.71","2,054.83","2,013.75","2,019.85",-28.4,-1.38,"1,737,014,499.55",8/8/2023
614,"2,051.56","2,069.32","2,030.32","2,048.26",-3.21,-0.15,"2,333,573,297.98",8/7/2023
615,"2,095.42","2,101.42","2,041.92","2,051.47",-38.37,-1.83,"2,687,148,234.55",8/6/2023
616,"2,088.55","2,109.29","2,084.15","2,089.84",3,0.14,"1,781,941,701.80",8/3/2023
617,"2,078.59","2,086.84","2,062.02","2,086.84",9.25,0.44,"1,812,473,856.12",8/2/2023
618,"2,106.06","2,123.73","2,070.68","2,077.58",-28.9,-1.35,"1,924,434,899.89",8/1/2023
619,"2,097.84","2,126.48","2,094.15","2,106.18",5.84,0.27,"1,858,002,175.73",7/31/2023
620,"2,126.85","2,138.63","2,091.53","2,100.34",-26.14,-1.22,"2,502,886,527.87",7/30/2023
621,"2,155.48","2,165.90","2,124.70","2,126.48",-29.71,-1.37,"2,425,780,564.09",7/27/2023
622,"2,168.46","2,186.16","2,152.54","2,156.20",-8.11,-0.37,"2,432,508,769.56",7/26/2023
623,"2,202.99","2,205.48","2,163.07","2,164.31",-36.19,-1.64,"2,910,732,418.70",7/25/2023
624,"2,227.21","2,243.78","2,194.41","2,200.50",-26.66,-1.19,"4,737,608,810.43",7/24/2023
625,"2,166.47","2,228.18","2,166.47","2,227.16",63.24,2.92,"4,375,196,232.80",7/23/2023
626,"2,165.70","2,177.76","2,153.16","2,163.92",-1.31,-0.06,"3,052,410,659.63",7/20/2023
627,"2,154.02","2,174.41","2,142.14","2,165.24",11.17,0.52,"3,348,679,900.45",7/19/2023
628,"2,147.69","2,170.90","2,147.13","2,154.07",9.91,0.46,"3,548,829,029.13",7/18/2023
629,"2,097.99","2,144.17","2,089.28","2,144.16",47.07,2.24,"2,560,191,288.71",7/17/2023
630,"2,085.68","2,103.86","2,079.36","2,097.09",12.16,0.58,"2,376,427,573.77",7/16/2023
631,"2,095.72","2,121.58","2,080.91","2,084.93",-12.62,-0.6,"3,390,660,605.31",7/13/2023
632,"2,072.24","2,099.51","2,072.24","2,097.55",25.31,1.22,"3,187,695,774.33",7/12/2023
633,"2,078.25","2,084.90","2,064.75","2,072.24",-4.73,-0.23,"2,859,490,490.47",7/11/2023
634,"2,081.75","2,101.37","2,068.28","2,076.96",-0.8,-0.04,"3,797,986,583.24",7/10/2023
635,"2,050.36","2,084.30","2,050.36","2,077.76",28.38,1.38,"3,042,543,961.01",7/9/2023
636,"2,050.28","2,063.54","2,033.59","2,049.38",-0.06,0,"3,077,498,315.29",7/6/2023
637,"2,090.38","2,101.29","2,046.70","2,049.44",-39.26,-1.88,"3,073,992,136.77",7/5/2023
638,"2,079.42","2,103.78","2,067.22","2,088.70",12.73,0.61,"2,576,140,128.50",7/4/2023
639,"2,096.72","2,113.74","2,069.86","2,075.97",-21.32,-1.02,"4,051,078,375.43",7/3/2023
640,"2,154.80","2,158.83","2,094.60","2,097.29",-53.7,-2.5,"5,081,976,179.38",7/2/2023
641,"2,193.51","2,204.93","2,146.57","2,150.99",-35.37,-1.62,"5,972,286,481.44",6/28/2023
642,"2,132.61","2,186.36","2,132.61","2,186.36",56.94,2.67,"5,476,287,740.47",6/27/2023
643,"2,124.01","2,154.66","2,121.34","2,129.42",11.69,0.55,"5,312,422,087.26",6/26/2023
644,"2,057.37","2,119.40","2,057.37","2,117.73",62.21,3.03,"6,490,443,184.88",6/25/2023
645,"2,054.62","2,074.22","2,042.45","2,055.53",4.75,0.23,"3,444,862,501.60",6/22/2023
646,"2,067.21","2,082.60","2,044.28","2,050.78",-14.05,-0.68,"3,496,822,260.78",6/21/2023
647,"2,093.56","2,116.89","2,057.52","2,064.83",-26.56,-1.27,"4,110,606,953.96",6/20/2023
648,"2,097.53","2,107.18","2,075.87","2,091.39",-2.94,-0.14,"4,740,608,880.28",6/19/2023
649,"2,045.06","2,094.33","2,038.24","2,094.33",52.26,2.56,"4,869,184,016.01",6/18/2023
650,"2,040.58","2,049.86","2,018.05","2,042.07",5,0.25,"3,162,810,843.58",6/15/2023
651,"2,020.18","2,066.99","2,015.67","2,037.06",16.42,0.81,"5,017,807,682.79",6/14/2023
652,"1,989.43","2,034.45","1,977.92","2,020.64",34.17,1.72,"4,126,695,943.96",6/13/2023
653,"1,984.36","2,002.00","1,972.08","1,987.87",7.79,0.39,"2,886,509,415.69",6/12/2023
654,"1,941.76","1,983.23","1,941.76","1,980.09",40.48,2.09,"3,454,344,563.90",6/11/2023
655,"1,933.40","1,946.76","1,920.74","1,939.61",7.27,0.38,"2,305,888,931.71",6/8/2023
656,"1,929.16","1,950.57","1,928.41","1,932.33",4.68,0.24,"2,368,815,635.92",6/7/2023
657,"1,902.75","1,927.66","1,893.62","1,927.66",25.66,1.35,"1,981,012,701.99",6/6/2023
658,"1,922.13","1,935.55","1,900.30","1,901.99",-17.38,-0.91,"1,973,491,107.31",6/5/2023
659,"1,866.35","1,925.11","1,865.73","1,919.38",53.03,2.84,"1,656,340,391.57",6/4/2023
660,"1,850.79","1,876.98","1,837.43","1,866.34",16.54,0.89,"1,654,648,922.34",6/1/2023
661,"1,884.49","1,893.37","1,844.67","1,849.79",-38.83,-2.06,"2,315,169,571.93",5/31/2023
662,"1,944.03","1,944.03","1,885.06","1,888.61",-53.16,-2.74,"2,341,777,844.60",5/30/2023
663,"1,960.95","1,977.36","1,938.66","1,941.74",-17.38,-0.89,"2,639,659,499.69",5/28/2023
664,"1,943.81","1,962.55","1,928.36","1,959.12",16.49,0.85,"1,873,018,024.09",5/24/2023
665,"1,891.37","1,942.63","1,891.37","1,942.63",51.31,2.71,"2,200,023,945.86",5/23/2023
666,"1,883.45","1,898.60","1,866.11","1,891.31",8.1,0.43,"1,272,346,510.88",5/22/2023
667,"1,878.68","1,902.60","1,874.47","1,883.20",5.88,0.31,"1,600,492,731.52",5/21/2023
668,"1,846.69","1,883.00","1,844.61","1,877.32",32.3,1.75,"1,474,765,388.20",5/18/2023
669,"1,821.54","1,846.63","1,821.33","1,845.01",23.39,1.28,"857,624,318.45",5/17/2023
670,"1,817.87","1,827.55","1,810.15","1,821.62",3.31,0.18,"640,117,260.52",5/16/2023
671,"1,821.81","1,826.63","1,807.84","1,818.31",-3.34,-0.18,"724,969,980.39",5/15/2023
672,"1,840.82","1,849.19","1,818.50","1,821.64",-16.96,-0.92,"900,563,856.24",5/14/2023
673,"1,840.05","1,843.36","1,831.41","1,838.59",-3.34,-0.18,"578,841,593.52",5/11/2023
674,"1,845.71","1,852.04","1,835.64","1,841.93",-2.43,-0.13,"471,574,067.13",5/10/2023
675,"1,831.64","1,856.02","1,829.00","1,844.36",10.66,0.58,"774,760,647.07",5/9/2023
676,"1,850.73","1,853.87","1,825.83","1,833.69",-16.93,-0.91,"824,217,001.84",5/8/2023
677,"1,870.41","1,872.22","1,849.09","1,850.61",-19.12,-1.02,"608,135,094.13",5/7/2023
678,"1,856.97","1,874.58","1,846.92","1,869.73",12.73,0.69,"732,689,811.89",5/4/2023
679,"1,866.68","1,868.14","1,852.51","1,857.23",-9.18,-0.49,"620,266,016.87",5/3/2023
680,"1,871.63","1,878.51","1,860.53","1,866.40",-4.27,-0.23,"692,271,755.19",5/2/2023
681,"1,889.41","1,890.06","1,867.86","1,870.65",-19.11,-1.01,"954,322,377.93",4/30/2023
682,"1,892.94","1,895.12","1,880.29","1,889.73",-2.24,-0.12,"739,650,247.50",4/27/2023
683,"1,907.54","1,913.05","1,889.63","1,892.00",-13.68,-0.72,"847,028,219.40",4/26/2023
684,"1,887.30","1,905.68","1,885.20","1,905.68",17.36,0.92,"885,578,270.76",4/25/2023
685,"1,885.77","1,891.79","1,875.37","1,888.32",2.71,0.14,"751,330,393.70",4/24/2023
686,"1,904.94","1,906.29","1,881.39","1,885.60",-18.8,-0.99,"828,534,036.34",4/23/2023
687,"1,918.49","1,927.92","1,902.37","1,904.40",-15.73,-0.82,"983,367,311.00",4/20/2023
688,"1,903.36","1,924.06","1,903.36","1,920.12",15.13,0.79,"872,141,116.12",4/19/2023
689,"1,905.96","1,911.39","1,893.33","1,904.98",-3.07,-0.16,"870,448,151.88",4/18/2023
690,"1,931.86","1,937.37","1,904.61","1,908.05",-23.63,-1.22,"920,078,571.12",4/17/2023
691,"1,934.51","1,944.58","1,918.70","1,931.68",-2.8,-0.14,"974,599,061.51",4/16/2023
692,"1,973.09","1,981.43","1,929.21","1,934.47",-29.07,-1.48,"1,653,334,665.77",4/13/2023
693,"1,871.46","1,963.55","1,871.46","1,963.55",92.22,4.93,"1,976,076,732.33",4/12/2023
694,"1,845.65","1,871.95","1,844.57","1,871.34",27.31,1.48,"945,249,179.36",4/11/2023
695,"1,837.65","1,851.39","1,833.30","1,844.02",5.54,0.3,"911,976,049.12",4/10/2023
696,"1,867.47","1,868.34","1,834.20","1,838.49",-28.31,-1.52,"1,159,448,411.71",4/9/2023
697,"1,875.88","1,888.82","1,864.51","1,866.79",-8.28,-0.44,"920,686,094.33",4/6/2023
698,"1,866.83","1,878.53","1,857.63","1,875.07",8.39,0.45,"816,046,790.00",4/5/2023
699,"1,872.65","1,880.31","1,856.69","1,866.68",-5.2,-0.28,"917,610,296.04",4/4/2023
700,"1,888.61","1,891.76","1,866.16","1,871.88",-16.67,-0.88,"920,249,011.53",4/3/2023
701,"1,910.49","1,928.66","1,883.04","1,888.55",-20,-1.05,"1,207,122,600.13",4/2/2023
702,"1,920.01","1,932.30","1,905.50","1,908.55",-10.87,-0.57,"899,532,139.40",3/30/2023
703,"1,920.09","1,921.83","1,901.90","1,919.42",1.02,0.05,"816,219,129.76",3/29/2023
704,"1,910.35","1,936.43","1,906.77","1,918.41",12.41,0.65,"1,443,713,878.30",3/28/2023
705,"1,885.65","1,906.85","1,864.99","1,906.00",17.7,0.94,"1,382,767,991.83",3/27/2023
706,"1,915.32","1,915.32","1,881.35","1,888.30",-26.85,-1.4,"1,289,371,531.03",3/26/2023
707,"1,933.11","1,933.21","1,906.33","1,915.14",-18.15,-0.94,"1,413,172,802.50",3/23/2023
708,"1,952.19","1,962.14","1,929.54","1,933.29",-15.76,-0.81,"1,333,719,929.67",3/22/2023
709,"1,926.28","1,949.06","1,926.04","1,949.06",22.65,1.18,"1,298,583,988.28",3/20/2023
710,"1,933.23","1,939.42","1,922.63","1,926.40",-6.9,-0.36,"1,069,804,825.12",3/19/2023
711,"1,938.62","1,946.32","1,920.10","1,933.31",-5.32,-0.27,"1,141,455,062.49",3/16/2023
712,"1,953.96","1,955.71","1,926.64","1,938.62",-14.44,-0.74,"1,202,141,882.65",3/15/2023
713,"1,950.41","1,964.71","1,939.55","1,953.06",1.85,0.09,"1,135,925,357.90",3/14/2023
714,"1,975.43","1,975.43","1,944.48","1,951.21",-24.68,-1.25,"1,162,503,515.16",3/13/2023
715,"2,008.26","2,016.05","1,970.84","1,975.90",-26.8,-1.34,"1,666,931,510.75",3/12/2023
716,"1,955.57","2,002.70","1,955.57","2,002.70",50.04,2.56,"1,565,558,802.91",3/9/2023
717,"1,938.36","1,963.76","1,937.92","1,952.66",14.41,0.74,"1,204,409,411.61",3/7/2023
718,"1,967.49","1,975.79","1,935.49","1,938.25",-30.77,-1.56,"1,392,354,893.48",3/5/2023
719,"1,995.34","1,996.56","1,966.72","1,969.02",-26.47,-1.33,"1,336,333,964.70",3/2/2023
720,"2,020.72","2,024.34","1,994.53","1,995.49",-24.44,-1.21,"1,288,363,424.63",3/1/2023
721,"2,024.82","2,033.70","2,013.58","2,019.93",-3.61,-0.18,"1,387,865,515.74",2/28/2023
722,"2,029.23","2,042.95","1,990.37","2,023.54",-3.65,-0.18,"1,893,736,365.84",2/27/2023
723,"2,016.54","2,029.09","1,961.68","2,027.19",4.55,0.22,"2,525,071,806.13",2/26/2023
724,"2,078.48","2,078.48","2,015.04","2,022.64",-57.74,-2.78,"2,522,713,153.87",2/23/2023
725,"2,049.65","2,083.83","2,048.35","2,080.38",33.57,1.64,"1,803,282,180.68",2/22/2023
726,"2,069.67","2,069.67","2,040.34","2,046.81",-23.6,-1.14,"1,947,623,993.42",2/20/2023
727,"2,090.49","2,099.36","2,067.41","2,070.41",-21.15,-1.01,"1,684,942,096.45",2/16/2023
728,"2,105.03","2,117.50","2,086.95","2,091.56",-13.9,-0.66,"1,732,575,202.79",2/15/2023
729,"2,122.41","2,122.41","2,100.60","2,105.46",-16.4,-0.77,"1,787,016,372.70",2/14/2023
730,"2,181.20","2,181.20","2,117.93","2,121.86",-60.77,-2.78,"3,047,739,812.93",2/12/2023
731,"2,171.17","2,182.64","2,153.57","2,182.63",12.45,0.57,"2,062,058,749.14",2/9/2023
732,"2,181.62","2,213.78","2,161.22","2,170.18",-7.16,-0.33,"3,691,972,817.14",2/8/2023
733,"2,100.12","2,177.35","2,100.12","2,177.34",76.64,3.65,"3,362,267,078.75",2/7/2023
734,"2,096.32","2,102.47","2,087.48","2,100.70",4.62,0.22,"1,474,161,645.60",2/6/2023
735,"2,096.70","2,118.27","2,088.07","2,096.08",1.54,0.07,"1,931,719,103.92",2/5/2023
736,"2,118.56","2,126.01","2,090.53","2,094.54",-22.12,-1.04,"2,096,419,161.88",2/2/2023
737,"2,111.44","2,124.09","2,104.55","2,116.65",4.97,0.24,"1,767,051,916.00",2/1/2023
738,"2,130.29","2,135.86","2,108.20","2,111.68",-15.7,-0.74,"2,824,540,406.61",1/31/2023
739,"2,166.31","2,173.85","2,124.97","2,127.37",-41.16,-1.9,"3,302,201,825.93",1/30/2023
740,"2,185.32","2,192.27","2,164.05","2,168.53",-14.68,-0.67,"3,017,063,956.47",1/29/2023
741,"2,186.50","2,201.28","2,178.29","2,183.21",-0.41,-0.02,"2,860,082,839.02",1/26/2023
742,"2,175.67","2,199.66","2,175.67","2,183.62",10.37,0.48,"3,466,508,338.64",1/25/2023
743,"2,166.05","2,173.25","2,140.18","2,173.25",8.15,0.38,"3,003,230,039.43",1/24/2023
744,"2,184.77","2,202.26","2,163.41","2,165.10",-13.71,-0.63,"3,864,008,973.69",1/23/2023
745,"2,175.30","2,191.81","2,163.44","2,178.81",5.71,0.26,"3,044,529,329.67",1/19/2023
746,"2,185.73","2,214.39","2,167.41","2,173.10",-9.01,-0.41,"4,928,714,602.64",1/18/2023
747,"2,152.05","2,187.54","2,136.61","2,182.11",32.72,1.52,"3,724,794,587.76",1/17/2023
748,"2,203.84","2,235.49","2,144.41","2,149.39",-41.04,-1.87,"5,477,624,724.37",1/12/2023
749,"2,215.35","2,277.35","2,179.25","2,190.42",-21.34,-0.96,"7,658,823,579.86",1/10/2023
750,"2,171.46","2,211.77","2,161.42","2,211.76",47.15,2.18,"5,314,307,853.42",1/9/2023
751,"2,148.93","2,191.52","2,127.08","2,164.61",20.68,0.96,"5,459,925,001.18",1/8/2023
752,"2,134.88","2,159.82","2,113.51","2,143.93",18.09,0.85,"5,040,740,937.08",1/5/2023
753,"2,069.34","2,125.85","2,066.89","2,125.84",64.78,3.14,"3,501,142,097.42",1/4/2023
754,"2,066.02","2,081.09","2,051.20","2,061.06",-3.03,-0.15,"3,458,089,787.92",1/3/2023
755,"2,047.46","2,070.31","2,028.74","2,063.83",17.56,0.86,"2,960,927,440.66",1/2/2023
756,"2,037.21","2,082.66","2,030.41","2,046.26",17.24,0.85,"4,048,879,510.19",1/1/2023
757,"1,973.18","2,029.03","1,962.71","2,029.03",56.88,2.88,"2,860,345,781.68",12/29/2022
758,"1,991.81","1,994.07","1,962.33","1,972.15",-11.81,-0.6,"2,153,547,207.90",12/28/2022
759,"1,928.81","1,998.49","1,928.81","1,983.95",59.87,3.11,"3,884,396,997.97",12/27/2022
760,"1,868.18","1,924.09","1,868.18","1,924.09",56.88,3.05,"2,097,049,941.35",12/26/2022
761,"1,864.41","1,867.21","1,850.88","1,867.21",-0.01,0,"1,119,797,921.31",12/22/2022
762,"1,874.85","1,882.84","1,864.90","1,867.22",-5.89,-0.31,"863,816,561.06",12/21/2022
763,"1,859.72","1,881.04","1,859.07","1,873.11",14.22,0.77,"930,839,901.14",12/20/2022
764,"1,855.19","1,864.87","1,849.44","1,858.89",3.83,0.21,"886,098,568.37",12/19/2022
765,"1,883.65","1,883.65","1,851.24","1,855.06",-27.54,-1.46,"1,157,155,099.08",12/18/2022
766,"1,897.34","1,898.86","1,880.44","1,882.60",-14.48,-0.76,"1,192,616,187.82",12/15/2022
767,"1,900.61","1,905.91","1,893.20","1,897.08",-2.62,-0.14,"727,877,897.35",12/14/2022
768,"1,900.23","1,904.58","1,888.84","1,899.70",-2.57,-0.13,"777,089,165.15",12/13/2022
769,"1,884.22","1,902.27","1,868.77","1,902.27",16.96,0.9,"1,366,010,464.02",12/12/2022
770,"1,916.04","1,918.03","1,883.23","1,885.31",-31.97,-1.67,"1,103,404,045.08",12/11/2022
771,"1,935.08","1,935.86","1,916.77","1,917.28",-16.61,-0.86,"1,654,662,550.98",12/7/2022
772,"1,941.08","1,943.63","1,922.20","1,933.88",-4.87,-0.25,"965,210,899.14",12/6/2022
773,"1,964.79","1,965.26","1,935.76","1,938.76",-24.46,-1.25,"1,670,455,034.63",12/5/2022
774,"1,961.07","1,973.39","1,957.36","1,963.22",2.16,0.11,"1,561,702,992.00",12/4/2022
