S.N.,Open,High,Low,Close,Change,% Change,Turnover,Date
93,"2,675.17","2,694.89","2,644.13","2,649.52",-26.51,-0.99,"7,085,449,433.59",11/30/2025
94,"2,670.07","2,678.29","2,658.12","2,676.03",10.43,0.39,"6,662,383,143.46",11/27/2025
95,"2,661.64","2,671.91","2,647.39","2,665.60",9.61,0.36,"6,692,971,095.04",11/26/2025
96,"2,654.20","2,658.19","2,635.55","2,655.99",5.32,0.2,"5,823,028,663.96",11/25/2025
97,"2,601.20","2,647.58","2,601.11","2,650.66",50.44,1.94,"7,035,480,136.98",11/24/2025
98,"2,562.34","2,600.93","2,562.34","2,600.22",39.92,1.55,"6,286,733,916.87",11/23/2025
99,"2,560.11","2,563.92","2,549.82","2,560.29",-0.79,-0.03,"4,688,868,299.23",11/20/2025
100,"2,570.94","2,580.09","2,550.62","2,561.08",-4.98,-0.19,"3,778,632,771.30",11/19/2025
101,"2,549.20","2,579.12","2,547.42","2,566.07",15.7,0.61,"4,105,406,134.01",11/18/2025
102,"2,543.82","2,555.32","2,534.97","2,550.36",9.78,0.38,"3,946,074,358.89",11/17/2025
103,"2,549.85","2,550.18","2,533.03","2,540.57",-5.15,-0.2,"3,893,975,793.73",11/16/2025
104,"2,538.53","2,559.01","2,530.32","2,545.73",1.13,0.04,"3,499,817,772.82",11/13/2025
105,"2,565.72","2,569.52","2,540.24","2,544.59",-20.56,-0.8,"3,848,586,411.67",11/12/2025
106,"2,563.87","2,569.99","2,548.01","2,565.16",3.21,0.12,"3,626,175,110.66",11/11/2025
107,"2,570.15","2,576.85","2,544.10","2,561.94",-4.15,-0.16,"4,514,408,236.33",11/10/2025
108,"2,598.43","2,599.27","2,560.92","2,566.09",-30.02,-1.15,"4,907,624,328.39",11/9/2025
109,"2,609.70","2,622.44","2,589.63","2,596.12",-11.29,-0.43,"5,416,939,357.22",11/6/2025
110,"2,596.81","2,612.53","2,576.83","2,607.42",12.17,0.46,"4,681,922,814.96",11/5/2025
111,"2,623.73","2,627.56","2,587.28","2,595.24",-27.64,-1.05,"5,150,768,938.97",11/4/2025
112,"2,629.66","2,650.61","2,610.96","2,622.89",-8.24,-0.31,"6,052,226,903.77",11/3/2025
113,"2,614.13","2,638.12","2,593.67","2,631.14",30.75,1.18,"9,203,146,429.51",11/2/2025
114,"2,568.62","2,605.50","2,548.39","2,600.38",34.22,1.33,"7,513,938,473.44",10/30/2025
115,"2,570.58","2,602.98","2,557.74","2,566.16",-5.17,-0.2,"5,459,767,681.89",10/29/2025
116,"2,506.89","2,576.41","2,503.98","2,571.34",62.29,2.48,"4,573,943,405.50",10/28/2025
117,"2,503.32","2,509.08","2,469.37","2,509.04",5.19,0.2,"2,661,302,284.84",10/26/2025
118,"2,489.07","2,507.12","2,482.94","2,503.85",16.67,0.67,"2,791,189,909.03",10/19/2025
119,"2,505.71","2,522.59","2,478.56","2,487.17",-18.4,-0.73,"3,270,054,864.16",10/16/2025
120,"2,527.95","2,528.59","2,498.87","2,505.58",-22.58,-0.89,"3,101,830,945.45",10/15/2025
121,"2,547.76","2,553.57","2,523.58","2,528.16",-19.43,-0.76,"3,366,198,262.34",10/14/2025
122,"2,521.00","2,547.81","2,478.39","2,547.60",44.25,1.76,"4,975,408,545.45",10/13/2025
123,"2,583.97","2,584.24","2,493.16","2,503.35",-78.83,-3.05,"6,707,245,266.37",10/12/2025
124,"2,585.76","2,677.09","2,575.51","2,582.18",22.59,0.88,"5,273,221,479.75",10/9/2025
125,"2,610.27","2,610.31","2,535.30","2,559.59",-45.36,-1.74,"5,762,701,110.82",10/8/2025
126,"2,662.53","2,664.99","2,596.04","2,604.96",-58.55,-2.19,"4,629,042,656.66",10/7/2025
127,"2,655.79","2,671.68","2,647.96","2,663.51",11.51,0.43,"2,935,914,910.73",9/28/2025
128,"2,654.00","2,661.42","2,637.37","2,652.00",-2.35,-0.08,"3,260,440,604.17",9/25/2025
129,"2,683.54","2,689.67","2,645.30","2,654.35",-27.89,-1.03,"4,124,769,656.78",9/24/2025
130,"2,631.12","2,682.28","2,630.97","2,682.25",58.63,2.23,"5,292,773,925.38",9/23/2025
131,"2,488.04","2,634.55","2,483.15","2,623.62",111.7,4.44,"8,737,881,678.51",9/21/2025
132,"2,637.96","2,637.97","2,511.91","2,511.91",-160.33,-6,"728,702,830.70",9/18/2025
133,"2,707.10","2,711.84","2,663.78","2,672.25",-35.99,-1.32,"5,233,766,698.23",9/8/2025
134,"2,714.23","2,727.47","2,705.77","2,708.25",-11.52,-0.42,"4,402,767,271.72",9/7/2025
135,"2,723.81","2,732.75","2,702.25","2,719.77",-6.55,-0.24,"5,144,322,258.75",9/4/2025
136,"2,744.33","2,749.88","2,724.99","2,726.33",-15.64,-0.57,"4,728,052,860.97",9/3/2025
137,"2,777.38","2,791.67","2,741.46","2,741.97",-19.89,-0.72,"4,438,251,812.70",9/2/2025
138,"2,768.39","2,773.69","2,741.39","2,761.86",12.03,0.43,"5,105,746,657.64",9/1/2025
139,"2,784.12","2,784.56","2,745.69","2,749.83",-31.17,-1.12,"6,061,822,379.10",8/31/2025
140,"2,820.00","2,824.85","2,778.92","2,781.00",-38.1,-1.35,"8,095,610,445.99",8/28/2025
141,"2,781.32","2,822.79","2,767.77","2,819.10",53.01,1.91,"7,683,386,441.70",8/27/2025
142,"2,764.30","2,775.09","2,760.73","2,766.09",4.83,0.17,"4,185,315,734.37",8/26/2025
143,"2,740.30","2,764.95","2,730.74","2,761.26",21.3,0.77,"5,753,219,652.78",8/25/2025
144,"2,754.57","2,770.80","2,737.85","2,739.95",-18.02,-0.65,"6,548,638,335.92",8/24/2025
145,"2,767.51","2,775.34","2,756.85","2,757.97",-9.22,-0.33,"5,020,104,816.55",8/21/2025
146,"2,773.36","2,783.02","2,766.64","2,767.20",-9.7,-0.34,"5,200,753,868.01",8/20/2025
147,"2,769.39","2,796.88","2,769.23","2,776.90",6.51,0.23,"5,636,548,038.26",8/19/2025
148,"2,760.55","2,779.68","2,755.88","2,770.39",9.16,0.33,"6,179,855,209.52",8/18/2025
149,"2,789.85","2,803.25","2,761.37","2,761.22",-27.14,-0.97,"7,735,195,094.63",8/17/2025
150,"2,789.54","2,802.14","2,784.15","2,788.36",2.62,0.09,"7,464,177,704.29",8/14/2025
